time;X_value;Y_value;Z_value
0,9551;0,24421;1,83396;9,42867
0,9565;0,22984;1,83156;9,44064
0,9634;0,23703;1,83875;9,44543
0,9634;0,2466;1,85072;9,43824
0,9634;0,26576;1,87945;9,42627
0,9657;0,2897;1,901;9,42627
0,9669;0,31843;1,91297;9,42388
0,9678;0,34477;1,94649;9,40951
0,9703;0,36871;1,96085;9,41669
0,9723;0,37589;1,98;9,41191
0,9741;0,40223;2,01352;9,41909
0,982;0,43335;2,02549;9,43345
0,9832;0,48123;2,05422;9,45261
0,9832;0,50039;2,05422;9,45979
0,9832;0,51475;2,0638;9,47894
0,9842;0,56024;2,08535;9,4957
0,9862;0,5794;2,09253;9,50289
0,9887;0,58658;2,08056;9,51965
0,9896;0,61292;2,08535;9,52204
0,9964;0,63207;2,07577;9,52443
0,9964;0,65122;2,0662;9,51246
0,9964;0,64883;2,06859;9,52443
0,999;0,63207;2,04465;9,5364
1;0,64165;2,04944;9,5364
1,0022;0,64883;2,04465;9,53162
1,0037;0,65841;2,04465;9,52922
1,0059;0,69192;2,0638;9,51725
1,0077;0,70868;2,05662;9,51486
1,0096;0,72544;2,04704;9,49091
1,0139;0,7446;2,04225;9,47655
1,0139;0,75657;2,05662;9,46937
1,0164;0,78051;2,07098;9,455
1,0186;0,77812;2,09493;9,44543
1,0199;0,7829;2,09014;9,44064
1,022;0,78769;2,09493;9,42867
1,0243;0,77812;2,11169;9,42627
1,0261;0,75657;2,11647;9,43345
1,0281;0,73741;2,13563;9,46218
1,0302;0,73263;2,14042;9,46458
1,0338;0,70629;2,13084;9,51486
1,0338;0,67038;2,11408;9,58668
1,0362;0,65601;2,09971;9,60584
1,0391;0,58897;2,05422;9,65851
1,0396;0,58897;2,05422;9,65851
1,043;0,56264;2,01352;9,68963
1,0438;0,52194;1,99676;9,704
1,0456;0,50039;1,98719;9,71118
1,0485;0,4956;1,94888;9,72794
1,0504;0,47884;1,92733;9,71836
1,0523;0,46687;1,91297;9,71836
1,0541;0,44772;1,90818;9,7016
1,0559;0,40941;1,88663;9,69203
1,0585;0,39983;1,88903;9,67527
1,06;0,38547;1,88424;9,6633
1,0621;0,36152;1,88184;9,65372
1,0635;0,34477;1,88424;9,64414
1,0655;0,34955;1,89621;9,60105
1,0681;0,36392;1,89381;9,58668
1,0701;0,39265;1,8986;9,57232
1,0724;0,4142;1,92494;9,54119
1,0744;0,42377;1,92973;9,5388
1,0757;0,45969;1,94888;9,53162
1,0783;0,46926;1,95606;9,50767
1,0801;0,46926;1,96085;9,50767
1,084;0,48123;1,97761;9,51246
1,0841;0,47405;1,97761;9,51486
1,0862;0,46208;1,98479;9,53401
1,088;0,46687;1,99916;9,55077
1,0896;0,46687;2,00395;9,56514
1,0925;0,45969;1,99916;9,60344
1,0945;0,43574;1,99916;9,6202
1,0957;0,42138;1,99916;9,62738
1,1026;0,40462;1,95846;9,64893
1,1029;0,39744;1,94649;9,65372
1,1046;0,38547;1,91057;9,6633
1,1047;0,38547;1,87227;9,68006
1,1058;0,38307;1,85311;9,68245
1,108;0,38547;1,81002;9,67527
1,1113;0,3711;1,76932;9,68484
1,1121;0,3711;1,74537;9,69203
1,1146;0,35913;1,72143;9,70639
1,1163;0,34955;1,72143;9,71118
1,1191;0,34716;1,69031;9,71358
1,1208;0,33519;1,68791;9,70879
1,1239;0,32561;1,68791;9,71118
1,1239;0,29688;1,66876;9,69442
1,1306;0,28252;1,64482;9,67766
1,1306;0,26815;1,64242;9,66569
1,1306;0,26576;1,67834;9,65372
1,1324;0,27294;1,68312;9,62499
1,1335;0,28252;1,69509;9,60584
1,1357;0,2897;1,74058;9,56035
1,1391;0,32801;1,75734;9,4981
1,14;0,36871;1,7741;9,46937
1,1433;0,42138;1,80523;9,4143
1,1456;0,44532;1,83156;9,37599
1,1456;0,51715;1,88663;9,32572
1,1479;0,59855;1,92733;9,27304
1,1498;0,64165;1,95127;9,2491
1,1524;0,71108;1,99676;9,21319
1,1535;0,76375;2,03028;9,18685
1,1563;0,78769;2,10211;9,17009
1,159;0,84036;2,14042;9,13897
1,1599;0,85952;2,16915;9,13178
1,1626;0,89783;2,19309;9,09827
1,1635;0,93613;2,19069;9,07193
1,1657;0,95289;2,20267;9,05756
1,1684;1,00556;2,2314;9,03602
1,1696;1,03669;2,26491;9,01686
1,1733;1,075;2,29843;8,99771
1,1736;1,16119;2,36547;8,9618
1,1754;1,19471;2,3966;8,94743
1,1788;1,27611;2,45166;8,88997
1,1797;1,32878;2,49955;8,87321
1,1822;1,4054;2,61207;8,86842
1,184;1,54426;2,83713;8,93546
1,1854;1,5682;2,90656;9,13897
1,1875;1,55384;2,87783;9,23952
1,1906;1,55144;2,98796;9,50289
1,1916;1,80523;3,40216;9,9506
1,1937;1,94409;3,95762;10,09186
1,1956;2,09253;3,70622;9,43106
1,1999;1,96325;3,2609;8,99531
1,1999;1,80044;3,02388;8,82533
1,2023;1,36709;2,5594;8,67689
1,2043;1,15161;2,36547;8,66013
1,2056;0,7853;2,10929;8,71041
1,2075;0,54588;2,00634;8,91391
1,2101;0,48602;1,98479;9,03123
1,2138;0,43814;1,95127;9,26825
1,214;0,43096;1,93691;9,39515
1,2163;0,45011;1,89142;9,56274
1,2203;0,46448;1,75495;9,79019
1,2203;0,46448;1,75495;9,79019
1,2243;0,45969;1,66158;9,93624
1,2243;0,44772;1,58017;10,08707
1,227;0,45011;1,56102;10,16129
1,2281;0,45729;1,52032;10,24269
1,2302;0,48363;1,53229;10,29776
1,2323;0,49321;1,55144;10,29776
1,2337;0,50278;1,60412;10,27382
1,2363;0,51475;1,62806;10,25706
1,2386;0,45969;1,97522;10,6114
1,2401;0,40701;2,32238;11,01842
1,2429;0,41659;2,5187;11,15728
1,2466;0,53391;2,61207;10,87476
1,2466;0,62968;2,49955;10,43423
1,2483;0,63207;2,41096;10,22115
1,2497;0,56264;2,20745;9,84765
1,2523;0,51236;2,10929;9,66809
1,2538;0,39504;1,91297;9,32572
1,2557;0,27773;1,7334;9,06714
1,2584;0,2083;1,63045;8,84687
1,2608;0,18675;1,58496;8,75829
1,2638;0,16041;1,52271;8,64816
1,2646;0,14844;1,51074;8,61224
1,2656;0,10295;1,48441;8,58351
1,2675;0,0814;1,4868;8,58112
1,2697;0,05746;1,50595;8,61464
1,2718;0,05986;1,56102;8,67928
1,2739;0,06943;1,58496;8,70322
1,2758;0,11492;1,64721;8,72477
1,2785;0,18435;1,72622;8,75829
1,2794;0,24421;1,76453;8,77265
1,2837;0,38068;1,86269;8,77984
1,2855;0,52912;1,95606;8,77984
1,2866;0,60094;2,00395;8,77505
1,2887;0,75896;2,10211;8,77744
1,2915;0,81642;2,15478;8,78223
1,2922;0,94571;2,26252;8,79181
1,2945;1,075;2,35589;8,81575
1,2955;1,13964;2,38941;8,82772
1,2993;1,31921;2,52588;8,83969
1,3002;1,38145;2,56419;8,83251
1,3027;1,43892;2,60489;8,82772
1,3037;1,57538;2,68869;8,8349
1,3059;1,69031;2,72939;8,8349
1,3075;1,74298;2,82995;8,83012
1,3095;1,86987;2,94726;8,80857
1,3124;1,91057;3,0143;8,80378
1,3154;2,01831;3,16274;8,80378
1,3168;2,09493;3,26569;8,78941
1,3198;2,19069;3,34709;8,71759
1,3205;2,25534;3,37822;8,66252
1,3232;2,35589;3,46202;8,49732
1,3245;2,40857;3,49314;8,40874
1,3267;2,51391;3,53384;8,24354
1,3286;2,56898;3,54821;8,16932
1,3304;2,68869;3,56018;8,07355
1,3338;2,84431;3,50511;8,12383
1,3355;2,99515;3,44047;8,28663
1,3368;3,37822;3,23457;8,87082
1,3408;3,67989;3,12683;9,2898
1,3408;3,76608;3,06218;9,39993
1,3441;3,73256;2,71502;9,87638
1,345;3,52426;2,53067;10,74308
1,3473;3,3854;2,34392;11,21713
1,3481;3,08134;2,27449;11,71513
1,3509;2,91853;2,20985;11,6433
1,3534;2,53067;1,95606;10,94419
1,3549;1,87945;1,47004;9,8285
1,3555;1,37906;1,14443;9,26107
1,3584;-0,42377;0,55785;7,99454
1,3594;-1,41018;-1,12527;7,63062
1,3626;-2,14042;-1,83396;7,38881
1,364;-2,80122;-2,478;7,34571
1,3672;-2,9305;-2,6432;7,44866
1,368;-2,85628;-2,71981;7,87722
1,3714;-2,41096;-2,48758;8,62421
1,3724;-2,11647;-2,3128;9,04559
1,3803;-1,50116;-2,01113;9,81892
1,3803;-0,79966;-1,90818;10,39592
1,3803;0,10534;-1,59454;10,79575
1,3803;0,52672;-1,4054;10,93701
1,385;1,18752;-1,21625;11,0663
1,3851;1,41737;-0,8667;11,07109
