time;X_value;Y_value;Z_value
1,017;-6,29226;-1,76213;0,31603
1,0203;-6,3186;-1,83156;0,02634
1,0277;-6,35212;-1,8579;-0,13886
1,0277;-6,43831;-1,9393;-0,44532
1,0277;-6,51253;-1,96325;-0,577
1,0277;-6,66815;-2,00634;-0,80685
1,0322;-6,8956;-2,07098;-0,96726
1,0322;-6,8956;-2,07098;-0,96726
1,0329;-6,94109;-2,07098;-0,93853
1,0353;-6,99376;-2,07098;-0,89064
1,0372;-7,13263;-2,08056;-0,74699
1,0405;-7,29783;-2,12126;-0,61052
1,0412;-7,40078;-2,16915;-0,54348
1,0431;-7,63301;-2,2721;-0,40941
1,045;-7,87722;-2,41814;-0,25379
1,0475;-8,00651;-2,49955;-0,17238
1,0527;-8,45423;-2,81319;0,16999
1,0527;-8,45423;-2,81319;0,16999
1,0528;-8,53563;-2,88022;0,26336
1,0556;-8,69125;-2,9736;0,40462
1,0575;-8,76547;-3,01191;0,45011
1,0606;-8,87321;-3,05979;0,68953
1,0613;-8,86603;-3,04542;0,86431
1,0631;-8,83969;-3,02388;1,07739
1,0659;-8,70801;-2,94726;1,58736
1,0677;-8,51408;-2,82037;2,13084
1,0724;-8,10228;-2,57616;2,94726
1,0724;-7,94187;-2,49476;3,16992
1,0746;-7,94187;-2,49476;3,16992
1,0757;-7,60907;-2,33195;3,49793
1,0775;-7,28825;-2,16915;3,62482
1,0801;-7,04643;-2,05901;3,51708
1,0811;-6,93391;-2,02789;3,41653
1,0838;-6,65139;-1,98479;3,21541
1,0852;-6,51013;-1,96564;3,14598
1,0874;-6,20368;-1,90339;3,16035
1,0924;-5,58358;-1,85311;3,20823
1,0924;-5,58358;-1,85311;3,20823
1,0932;-5,44232;-1,88184;3,17232
1,0953;-5,31064;-1,9417;3,10528
1,0972;-5,05685;-2,08296;2,96642
1,1;-4,80756;-2,22182;2,81558
1,101;-4,70939;-2,30083;2,727
1,1033;-4,58968;-2,44687;2,57377
1,1053;-4,54898;-2,52109;2,50194
1,1078;-4,50349;-2,67672;2,38941
1,1121;-4,4987;-2,90896;2,27689
1,1122;-4,4987;-2,90896;2,27689
1,113;-4,48673;-2,9712;2,25294
1,1155;-4,48195;-3,09331;2,23379
1,1169;-4,49152;-3,14838;2,229
1,1203;-4,60405;-3,40695;2,21464
1,1209;-4,5825;-3,40695;2,24097
1,1229;-4,5418;-3,50511;2,26013
1,125;-4,46758;-3,553;2,23858
1,1273;-4,43406;-3,56975;2,20267
1,1324;-4,48434;-3,6751;1,92733
1,1324;-4,48434;-3,6751;1,92733
1,1328;-4,54659;-3,70144;1,83875
1,1351;-4,72615;-3,77805;1,57299
1,1378;-4,86741;-3,74453;1,37188
1,1405;-4,94433;-3,65834;1,20668
1,1416;-4,98024;-3,62243;1,13006
1,1436;-5,00418;-3,60088;1,06303
1,1455;-5,06404;-3,59609;0,94571
1,1475;-5,16938;-3,65834;0,88585
1,153;-5,28909;-3,76608;0,90022
1,153;-5,30824;-3,77805;0,9505
1,153;-5,31303;-3,79002;1,02472
1,1559;-5,33219;-3,81396;1,10852
1,1574;-5,41598;-3,86424;1,25456
1,1606;-5,53091;-3,98156;1,37188
1,161;-5,57879;-4,05578;1,39343
1,1634;-5,67695;-4,19225;1,52271
1,1713;-5,72962;-4,2545;1,61609
1,1714;-5,77033;-4,32632;1,85072
1,172;-5,70329;-4,34787;2,10211
1,1721;-5,70329;-4,34787;2,10211
1,1758;-5,66737;-4,36224;2,11887
1,1758;-5,6171;-4,37421;2,14042
1,178;-5,43753;-4,40294;2,16675
1,1803;-5,23163;-4,40054;2,19069
1,1809;-5,1191;-4,40054;2,18112
1,1831;-4,9132;-4,43406;2,09971
1,1859;-4,72137;-4,46758;1,99198
1,1879;-4,63517;-4,49631;1,92973
1,1928;-4,32153;-4,75249;1,65679
1,1938;-4,32153;-4,75249;1,65679
1,1938;-4,26647;-4,84108;1,59214
1,1958;-4,17549;-5,04009;1,47483
1,1979;-4,13;-5,15262;1,41018
1,2006;-3,96959;-5,48302;1,2378
1,2015;-3,93128;-5,58597;1,18992
1,2062;-3,89058;-5,68892;1,14203
1,2089;-3,83791;-5,89243;1,03669
1,209;-3,7996;-6,07678;0,9505
1,2125;-3,69425;-6,24677;0,83318
1,2125;-3,64637;-6,28268;0,82361
1,213;-3,64637;-6,28268;0,82361
1,2153;-3,56257;-6,3186;0,79248
1,2169;-3,47878;-6,30423;0,74699
1,2223;-3,38061;-6,26353;0,71347
1,2223;-3,36146;-6,2348;0,69671
1,2231;-3,304;-6,15819;0,6608
1,2251;-3,28724;-6,13424;0,65601
1,2272;-3,27527;-6,05284;0,65122
1,2321;-3,38301;-5,94989;0,74699
1,2321;-3,38301;-5,94989;0,74699
1,2332;-3,43568;-5,9451;0,79009
1,2356;-3,49075;-5,95707;0,84994
1,2371;-3,61046;-5,95468;1,01275
1,24;-3,77087;-5,98341;1,21625
1,2413;-3,84988;-6,00017;1,32399
1,243;-4,03662;-6,06481;1,55384
1,2454;-4,1276;-6,11988;1,68312
1,2474;-4,33111;-6,24677;1,92015
1,2524;-4,79559;-6,55802;2,31759
1,2524;-4,79559;-6,55802;2,31759
1,2532;-4,90362;-6,62984;2,41575
1,2557;-5,12868;-6,78068;2,59053
1,2574;-5,22445;-6,84293;2,67193
